sku,price,special_price,weight,ups,shipping_cost
"RCP1805729","749.9500","284.0058","22.0600","Y","82.4945",
"RCP1805730","749.9500","284.0058","22.0600","Y","82.4945",
"RCP1809375","83.8800","34.2036","3.4000","Y","10.9044",
"RCP1820578","40.1800","15.6168","1.5500","Y","5.2234",
"RCP1820579","41.3700","15.6168","1.5500","Y","5.3781",
"RCP1820580","40.1800","15.6168","0.1110","Y","5.2234",
"RCP1820581","66.2100","25.4880","2.6500","Y","8.6073",
"RCP1820582","66.2100","25.4880","1.7500","Y","8.6073",
"RCP1820583","66.2100","25.4880","1.7500","Y","8.6073",
"RCP1820584","66.2100","25.4880","1.7500","Y","8.6073",
"RCP1822350","120.3500","45.1980","1.0000","Y","15.6455",
"RCP1822351","70.7100","27.4104","3.3800","Y","9.1923",
"RCP1822352","282.8800","107.6200","6.0400","Y","31.1168",
"RCP1835528","307.2100","116.8900","5.7000","Y","33.7931",
"RCP1835529","307.2100","116.8862","3.9400","Y","33.7931",
"RCP1857378","17.8500","6.9228","1.1000","Y","2.3205",
"RCP1857391","17.8500","8.0136","1.1000","Y","2.3205",
"RCP1861427","1369.9500","503.6908","70.0000","Y","150.6945",
"RCP1861429","694.3100","264.2262","50.6000","Y","76.3741",
"RCP1863882","35.6800","22.6044","1.0000","Y","4.6384",
"RCP1863883","23.0700","9.5256","1.0000","Y","2.9991",
"RCP1863884","307.2100","116.8862","1.0000","Y","33.7931",
"RCP1863885","323.6600","116.8862","1.0000","Y","35.6026",
"RCP1863886","139.0200","51.9800","3.0000","Y","18.0726",
"RCP1863887","216.2200","80.8500","2.8000","Y","28.1086",
"RCP1863888","40.1800","15.6168","1.0000","Y","5.2234",
"RCP1863889","66.2100","25.4880","0.1000","Y","8.6073",
"RCP1863890","40.1800","15.6168","0.4900","Y","5.2234",
"RCP1863891","66.0000","24.6240","1.7800","Y","8.5800",
"RCP1863892","194.6700","48.8484","1.0000","Y","25.3071",
"RCP1863893","50.4700","19.5600","1.0000","Y","6.5611",
"RCP1863894","70.5300","27.3500","1.0000","Y","9.1689",
"RCP1863895","276.7700","106.8000","2.6000","Y","30.4447",
"RCP1863896","288.3300","109.7206","22.3940","Y","31.7163",
"RCP1863898","343.1100","129.9454","23.5550","Y","37.7421",
"RCP1863899","343.1100","151.0500","23.4000","Y","37.7421",
"RCP1867396CT","467.7900","178.0200","4.0000","Y","",
"RCP1867397CT","193.8100","74.8000","2.0000","Y","",
"RCP1867398","129.0900","50.0904","1.0000","Y","16.7817",
"RCP1867505","32.3000","13.3488","1.9500","Y","4.1990",
"RCP1867507","355.2300","135.1606","15.6000","Y","39.0753",
"RCP1867508","355.2300","135.1606","15.6000","Y","39.0753",
"RCP1867509","85.0700","32.8104","5.2000","Y","11.0591",
"RCP1867539","1642.1000","624.7852","1.0000","N","180.6310",
"RCP1868433","660.0000","660.0000","22.4000","N","",
"RCP1868434","708.0000","708.0000","23.6000","N","",
